PWN_name,size,l,b,wavelength,pulse,Common_name,ATNF_name,Survey,log10_Edot_[erg/s],tau_c_[kyr],d_[kpc],P,Pdot,B,DM,S1400,G100,Flux(cm-2 s-1 TeV-1),Flux_error,Pivot,index,index_error,L,L_sigma
J0006+729,0.23,119.6039,10.4033,gamma,,-,J0007+7303,"VERITAS, LHAASO",35.65,13.9,1.4,0.3158731909,3.6039e-13,10800000000000.0,*,*,43.0,3.58e-14,5e-15,7.0,2.2,0.2,1.794827458699087,0.4040181655389792
J0209+648,0.0,130.7014,3.1016,"radio, gamma, x-ray",,3C58,J0205+6449,MAGIC,37.43,5.38,3.2,0.06571592849324,1.93754256e-13,3610000000000.0,140.7,0.045,6.4,2e-13,1e-13,1.0,2.4,0.2,0.59075917931471,0.3171348504872829
J0534+220,0.5,184.5572,-5.7888,"radio, gamma, x-ray",,Crab,B0531+21,"Milagro, Telescope Array, HAWC, TACTIC, VERITAS, CTA pSCT, FACT, MAGIC, CANGAROO, ARGO-YBJ, LHAASO, CAT, Whipple, TAIGA, HEGRA, H.E.S.S., MACE",38.66,1.26,2.0,0.0333924123,4.20972e-13,3790000000000.0,56.7712,14,3,2.35e-13,4e-14,7.0,2.79,0.03,43.56079949524998,7.559159481580345
J0621+3755,0.4,175.7597,10.9489,gamma,,,J0622+3749,LHAASO,34.43,208.0,1.6,0.333208231801,2.54237e-14,2950000000000.0,*,*,1.8,3.1e-16,6e-17,40.0,2.92,0.17,6.931404735789998,3.6892915491332334
J0632+173,2.6,195.3368,3.7769,"radio, gamma, x-ray",p,Geminga,J0633+1746,"Milagro, HAWC, LHAASO",34.51,342.0,0.19,0.237099441692,1.097087e-14,1630000000000.0,2.89,*,420.0,3.77e-16,1.07e-16,35.0,2.3,0.2,0.0154398368720587,0.0089726084849435
J0835-455,0.585,263.8557,-3.089,"radio, x-ray, gamma",p,Vela X,B0833-45,H.E.S.S.,36.84,11.3,0.28,0.089328385024,1.25008e-13,3380000000000.0,67.771,1050,930,1.83e-12,6.99e-14,3.02,1.89,0.03,0.582073165433302,0.0222945506569156
J1018-589B,0.15,284.1118,-1.8902,"radio, gamma, x-ray",,-,J1016-5857,H.E.S.S.,36.41,21.0,8.0,0.1073864584588,8.08342e-14,2980000000000.0,393.62,0.90,7,9.15e-14,1.1e-14,2.74,2.2,0.09,19.024805493870268,2.2890928516234808
J1026-582,0.13,284.7984,-0.5204,"radio, gamma, x-ray",,-,J1028-5819,H.E.S.S.,35.92,90.0,2.3,0.0914032309,1.61e-14,1230000000000.0,96.525,0.24,25.0,3.64e-14,4.76e-15,4.43,1.81,0.1,1.5770403350955675,0.2100653458461369
J1119-614,0.098,292.1023,-0.4871,"radio, x-ray. gamma",p,G292.2-0.5,J1119-6127,H.E.S.S.,36.36,1.61,8.4,0.40796298356,4.02022e-12,41000000000000.0,704.8,1.09,4.4,7.96e-13,7.47e-14,1.27,2.64,0.12,24.375881995760142,2.954512236648102
J1303-631,0.177,304.2132,-0.334,"radio, x-ray",,-,J1301-6305,H.E.S.S.,36.23,11.0,10.717,0.18452809509,2.66747e-13,7100000000000.0,374.0,0.49,*,1.53e-12,3.73e-14,1.87,2.33,0.02,233.59526627585635,5.966448675593038
J1356-645,0.231,309.8121,-2.4941,"radio, gamma, x-ray",p,,J1357-6429,H.E.S.S.,36.49,7.31,3.1,0.16630802362,3.610508e-13,7840000000000.0,127.41,0.52,2.9,5.73e-13,5.02e-14,2.74,2.2,0.08,17.88945734224068,1.5692743688807598
