;NAME;;P0;;;P1;;;DM;;;W50;;;S400;;;DIST;ASSOC;SNR_age_min;SNR_age_max;PSR;R_LUM;R_LUM14;AGE;BSURF;
1;J0007+7303;aaa+09c;0.3158731909;3.0e-10;awd+12;3.6039E-13;5.0e-17;awd+12;*;0;*;*;0;*;*;0;*;1.400;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04];13000;13000;NRAD[aab+22];*;*;1.39e+04;1.08e+13;
2;J0040-7337;cls+24;0.05988856188;1.5e-10;cab+24;3.4041E-14;4.0e-18;cab+24;101.79;4.0e-02;cab+24;0.870;1.0e-02;cab+24;*;0;*;58.717;EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[cab+24];;;*;*;*;2.79e+04;1.44e+12;
3;J0058-7218;met+21;0.02176610763;1.9e-10;met+21;2.9E-14;3.0e-15;met+21;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC,XRS:PWN_IKT_16[met+21],SNR:IKT_16[met+21];;;NRAD[met+21];*;*;1.19e+04;8.03e+11;
#4;J0100-7211;lfmp02;8.020392;9.0e-06;mgr+05;1.88E-11;8.0e-13;mgr+05;*;0;*;*;0;*;*;0;*;59.700;EXGAL:SMC,XRS:CXOU_J010043.1-721134,SNR:MCSNR_J0100-7211[cfc+24];;;AXP,NRAD;*;*;6.76e+03;3.93e+14;
5;J0205+6449;mss+02;0.06571592849324;9.0e-14;lrc+09;1.93754256E-13;4.0e-21;lrc+09;140.7;3.0e-01;csl+02;2.3;3.0e-01;csl+02;*;0;*;3.200;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[bie06],PWN:3C58[bie06];0;7000;HE[aab+22];*;0.46;5.37e+03;3.61e+12;
#6;J0525-6607;mgi+79;8.0470;2.0e-04;kkm+03;6.5E-11;5.0e-12;kkm+03;*;0;*;*;0;*;*;0;*;*;XRS:SGR_0526-66,SNR:N49(?)[ekl+80];;;AXP,NRAD;*;*;1.96e+03;7.32e+14;
7;B0531+21;sr68;0.0333924123;1.2e-09;ljg+15;4.20972E-13;3.0e-18;ljg+15;56.7712;3.0e-04;bkk+16;2.0;0;dmo+24;550;1.0e+02;tbms98;2.000;GRS:4FGL_J0534.5+2200[aab+22],SNR:Crab[ccl+69],PWN:Crab[ccl+69],GRS:HESS_J0534+220[aab+06b];940;940;HE[cdt69],HE[fhm+69],HE[hjm+70];2200.00;56.00;1.26e+03;3.79e+12;
8;J0537-6910;mgz+98;0.0161222220245;4.0e-13;mgm+04;5.1784338E-14;1.1e-20;mgm+04;*;0;*;*;0;*;*;0;*;49.700;EXGAL:LMC,SNR:N157B[mgz+98],PWN:N157B[wgcd01];;;NRAD;*;0.00;4.93e+03;9.25e+11;
9;J0538+2817;fcwa95;0.14315825891177;1.1e-13;klh+03;3.6694515E-15;1.3e-21;klh+03;39.5700;1.0e-03;lwf+04;6.7;0;dmo+24;8.2;2.0e-01;lwf+04;1.300;SNR:S147[acj+96];26000;34000;HE[mkz+03];13.86;3.21;6.18e+05;7.33e+11;
10;B0540-69;shh84;0.0505697030222;1.8e-12;fak15;4.789091E-13;3.0e-19;fak15;147.20;1.0e-01;sjk+21;16.98;0;sjk+21;0.0000;7.0e-04;msl+10;49.700;GRS:4FGL_J0540.3-6920[aab+22],EXGAL:LMC,SNR:0540-693[aab+15],PWN:0540-693[aab+15];;;HE[mp85];0.00;247.01;1.67e+03;4.98e+12;
