PWN_name,Common_name,Survey,l,b,size(deg),size_error,Flux(cm-2 s-1 TeV-1),Flux_error,Pivot,index,index_error,type
J2238+590,,LHAASO,106.4973,0.4483,0.24,0.03,2.03e-16,0.12e-16,50,3.55,0.09,
J2238+590,,,,,0.51,0.04,1.91e-13,0.26e-13,3,2.39,0.07,
J2229+594,,LHAASO,105.7160,1.4245,1.98,0.1,14.9e-13,0.99e-13,3,2.67,0.05,
J2227+609,,LHAASO,106.2826,2.8364,,,,,,,,
J2200+567,,LHAASO,101.0507,1.3118,0.43,0.07,0.38e-13,0.24e-13,3,1.77,0.28,
J2108+519,,"HAWC, LHAASO",92.2774,2.8677,0.26,,1.59e-15,0.35e-15,20,2.83,0.19,
J2047+445,,LHAASO,84.4223,0.6958,0.42,0.09,0.46e-16,0.06e-16,50,3.17,0.2,
J2043+442,3,HAWC,83.7400,1.1000,0.5,,9.7e-15,6e-15,7,2.33,0.25,
J2032+410,,LHAASO,79.8941,0.7896,,,,,,,,
J2031+409,,LHAASO,79.7501,0.8336,0.33,0.08,0.11e-9,0.06e-9,7,2.75,0.07,
J2031+406,,"Milagro, HAWC, ARGO-YBJ",79.7187,1.4720,0,,30.7e-15,16e-15,7,2.36,0.28,
J2028+338,,LHAASO,73.7038,-2.8925,1.7,0.23,1.61e-16,0.19e-16,50,3.38,0.19,
J2027+369,,LHAASO,76.0423,-0.8837,0.38,0.05,0.5e-16,0.06e-16,50,3.21,0.17,
J2024+417,,HAWC,79.5911,2.4282,0,,12.4e-15,2.6e-15,7,2.74,0.17,
J2023+324,,HAWC,71.8500,-2.7700,1,,13.8e-15,5e-18,7,2.7,0.19,
J2022+431,3,HAWC,80.5200,3.5400,0,,6e-15,2.2e-15,7,2.34,0.12,
J2020+380d,MilagroDiffuse,Milagro,76.0453,0.9408,0,,,,,,,
J2019+407,3HAWC J2020+403,"HAWC, VERITAS, ARGO-YBJ, LHAASO",78.3290,2.4874,0,,11.4e-15,1.2e-15,7,3.11,0.07,
J2019+368,,LHAASO,74.9842,0.4548,,,,,,,,
J2019+368,,"SST-1M, Milagro, HAWC, VERITAS, LHAASO",74.9932,0.3600,0.7,,58.2e-15,4.6e-15,7,2.24,,
J2016+372,,"VERITAS, ARGO-YBJ",74.9383,1.1469,0,,,,,,,
J2010+345,3,HAWC,72.1400,0.5600,0,,5.4e-15,2.4e-15,7,2.91,0.13,
J2006+341,,"HAWC, LHAASO",71.3213,1.1590,0,,9.6e-15,1.9e-15,7,2.64,0.15,
J2005+311,3,"HAWC, LHAASO",68.7400,-0.4000,0,,5.6e-15,2.5e-16,7,2.58,0.13,
J2002+327,,LHAASO,69.6981,1.0317,0.16,,0.34e-13,0.06e-13,3,2.21,0.11,
J1959+287,,LHAASO,65.9441,-0.4297,0.29,0.03,0.84e-16,0.07e-16,50,2.9,0.1,
